latitude	longitude	cp_id_str	Power_kW	connector_id	session_count
55.775843	-4.15455	53255	7	1.0	54
55.775843	-4.15455	53255	7	2.0	82
55.775843	-4.15455	53256	7	1.0	62
55.775843	-4.15455	53256	7	2.0	62
55.784998	-4.272889	60886	35	1.0	88
55.784998	-4.272889	60886	35	2.0	22
55.784998	-4.272889	60886	35	3.0	23
55.784998	-4.272889	60886	44	1.0	176
55.784998	-4.272889	60886	44	2.0	44
55.784998	-4.272889	60886	44	3.0	46
55.785653	-4.423017	51973	22	1.0	34
55.785653	-4.423017	51973	22	2.0	52
55.794489	-4.093858	53902	22	1.0	71
55.794489	-4.093858	53902	22	2.0	6
55.794489	-4.093858	53902	22	3.0	13
55.794489	-4.093858	53902	50	1.0	142
55.794489	-4.093858	53902	50	2.0	12
55.794489	-4.093858	53902	50	3.0	26
55.805462	-4.230803	60209	7	1.0	28
55.805462	-4.230803	60209	7	2.0	20
55.805462	-4.230803	60210	7	1.0	14
55.805462	-4.230803	60210	7	2.0	32
55.805462	-4.230803	60211	7	1.0	44
55.805462	-4.230803	60211	7	2.0	2
55.823218	-4.34487	50538	7	1.0	84
55.823218	-4.34487	50538	7	2.0	56
55.824531	-4.258462	60245	7	1.0	72
55.824531	-4.258462	60245	7	2.0	110
55.826633	-4.252628	52935	7	1.0	178
55.826633	-4.252628	52935	7	2.0	188
55.826756	-4.246408	50716	22	1.0	42
55.826756	-4.246408	50716	22	2.0	40
55.826756	-4.246408	51498	43	1.0	68
55.826756	-4.246408	51498	43	2.0	130
55.826756	-4.246408	51498	43	3.0	15
55.826756	-4.246408	51498	50	1.0	136
55.826756	-4.246408	51498	50	2.0	260
55.826756	-4.246408	51498	50	3.0	30
55.827428	-4.083701	53142	11	1.0	38
55.827428	-4.083701	53142	11	2.0	68
55.82859	-4.282952	52089	22	1.0	42
55.82859	-4.282952	52089	22	2.0	48
55.82859	-4.282952	52090	22	1.0	72
55.82859	-4.282952	52090	22	2.0	78
55.829098	-4.051746	53819	22	1.0	116
55.829098	-4.051746	53819	22	2.0	114
55.829098	-4.051746	53820	22	1.0	90
55.829098	-4.051746	53820	22	2.0	96
55.829098	-4.051746	53821	22	1.0	59
55.829098	-4.051746	53821	22	2.0	16
55.829098	-4.051746	53821	22	3.0	15
55.829098	-4.051746	53821	51	1.0	118
55.829098	-4.051746	53821	51	2.0	32
55.829098	-4.051746	53821	51	3.0	30
55.829098	-4.051746	53822	22	1.0	40
55.829098	-4.051746	53822	22	2.0	18
55.829098	-4.051746	53822	22	3.0	14
55.829098	-4.051746	53822	51	1.0	80
55.829098	-4.051746	53822	51	2.0	36
55.829098	-4.051746	53822	51	3.0	28
55.83065	-4.249236	60032	7	1.0	28
55.83065	-4.249236	60032	7	2.0	22
55.83065	-4.249236	60033	7	1.0	22
55.83065	-4.249236	60033	7	2.0	34
55.83065	-4.249236	60148	22	1.0	152
55.83065	-4.249236	60148	22	2.0	168
55.833528	-4.114879	51898	22	1.0	112
55.833528	-4.114879	51898	22	2.0	64
55.833528	-4.114879	51899	22	1.0	94
55.833528	-4.114879	51899	22	2.0	60
55.834463	-4.266687	52730	7	1.0	98
55.834463	-4.266687	52730	7	2.0	98
55.836151	-4.261435	52732	7	1.0	90
55.836151	-4.261435	52732	7	2.0	110
55.837448	-4.264178	52737	22	1.0	58
55.837448	-4.264178	52737	22	2.0	36
55.840509	-4.336918	51264	22	1.0	12
55.840509	-4.336918	51264	22	2.0	18
55.841512	-4.273359	52731	7	1.0	34
55.841512	-4.273359	52731	7	2.0	22
55.843481	-4.210235	50687	22	1.0	48
55.843481	-4.210235	50687	22	2.0	70
55.84518	-4.237056	50686	22	1.0	166
55.84518	-4.237056	50686	22	2.0	74
55.84564	-4.252705	53172	7	1.0	10
55.84564	-4.252705	53172	7	2.0	12
55.84564	-4.252705	53173	7	1.0	32
55.84564	-4.252705	53173	7	2.0	34
